v4.0.3	CONSENSUS ASSESSMENTS INITIATIVE QUESTIONNAIRE v4.0.3										
Question ID	Question	CSP CAIQ Answer	SSRM Control Ownership	CSP Implementation Description (Optional/Recommended)	CSC Responsibilities  (Optional/Recommended)			CCM Control ID	CCM Control Specification	CCM Control Title	CCM Domain Title
A&A-01.1	"Are audit and assurance policies, procedures, and standards established, documented,
approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned	"Instructure's security program is managed by our Chief Information Security and Privacy Officer (CISPO), who has ultimate responsibility for managing the program, signing policy, and ensuring its ongoing improvement. Underneath the CISPO, Instructure's security team are talented, skilled, and experienced information security professionals. They are responsible for establishing strong security practices throughout Instructure via governance, risk management, policy, education, security engineering, security compliance, security operations, and application security.

Instructures policies and standards are made available to employees where required, and are referenced in annual security and awareness training. 

Instructure's information security policies and standards are based on information security best practices as set forth by the International Organization for Standardization's (ISO) 27000 suite of standards, NIST's 800-53 suite of controls, and the AICPA's Trust Service Principles and Criteria. Instructure holds SOC 2 Type II reports, TX-RAMP Certifications, ISO 27001 certification, and CyberEssentials+ certification."				A&A-01	"Establish, document, approve, communicate, apply, evaluate and maintain
audit and assurance policies and procedures and standards. Review and update
the policies and procedures at least annually.
"	Audit and Assurance Policy and Procedures	Audit & Assurance
A&A-01.2	"Are audit and assurance policies, procedures, and standards reviewed and updated
at least annually?
"	Yes	CSP-owned	"All Instructure policies, procedures and standards are reviewed by relevant stakeholders and updated at least annually."							
A&A-02.1	"Are independent audit and assurance assessments conducted according to relevant
standards at least annually?
"	Yes	CSP-owned	Instructure's information security policies and standards are independently audited annually on both the International Organization for Standardization's (ISO) 27000 suite of standards and the AICPA's Trust Service Principles and Criteria (SOC 2 Type II).				A&A-02	"Conduct independent audit and assurance assessments according to
relevant standards at least annually.
"	Independent Assessments	
A&A-03.1	"Are independent audit and assurance assessments performed according to risk-based
plans and policies?
"	Yes	CSP-owned	"Instructure's annual independent audits and assurance assessments flow into our ongoing risk assessment process which identify any major risks to our services. The process includes performing risk assessments to identify impactful risks, identifying appropriate controls to mitigate risks to an appropriate level, monitoring controls for effectiveness at mitigating risks, and improving the ability to mitigate risks. Internal risk audits involve a number of stakeholders including our Security Team, Engineering Team, and the Executive Leadership Team."				A&A-03	"Perform independent audit and assurance assessments according to
risk-based plans and policies.
"	Risk Based Planning Assessment	
A&A-04.1	"Is compliance verified regarding all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit?
"	Yes	CSP-owned	"Instructure is audited annually by an independent auditor and holds a number of SOC-2 Type II reports for its products. Instructure is also ISO 27001:2013 certified. Our SOC 2 reports are available for review upon execution of a Non-Disclosure Agreement.
 
 As a public company, Instructure (NYSE:INST) is subject to the US Securities and Exchange Commission (SEC). Legal proceedings are included in our annual report (10K), which can be found on our website at: https://ir.instructure.com"				A&A-04	"Verify compliance with all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit.
"	Requirements Compliance	
A&A-05.1	"Is an audit management process defined and implemented to support audit planning,
risk analysis, security control assessments, conclusions, remediation schedules,
report generation, and reviews of past reports and supporting evidence?
"	Yes	CSP-owned	"Instructure's annual independent audits and assurance assessments flow into our ongoing risk assessment process which identify any major risks to our services. The process includes performing risk assessments to identify impactful risks, identifying appropriate controls to mitigate risks to an appropriate level, monitoring controls for effectiveness at mitigating risks, and improving the ability to mitigate risks. Internal risk audits involve a number of stakeholders including our Security Team, Engineering Team, and the Executive Leadership Team."				A&A-05	"Define and implement an Audit Management process to support audit
planning, risk analysis, security control assessment, conclusion, remediation
schedules, report generation, and review of past reports and supporting evidence.
"	Audit Management Process	
A&A-06.1	"Is a risk-based corrective action plan to remediate audit findings established,
documented, approved, communicated, applied, evaluated, and maintained?
"	Yes	CSP-owned	"On both an ongoing and annual basis, Instructure's Security Team, lead by the Chief Information Security and Privacy Officer (CISPO), perform a risk assessment of Instructure's most valuable assets and critical services."				A&A-06	"Establish, document, approve, communicate, apply, evaluate and maintain
a risk-based corrective action plan to remediate audit findings, review and
report remediation status to relevant stakeholders.
"	Remediation	
A&A-06.2	"Is the remediation status of audit findings reviewed and reported to relevant
stakeholders?
"	Yes	CSP-owned	Instructure's internal assessment findings are reviewed by relevant stakeholders and the Executive Leadership Team.							
AIS-01.1	"Are application security policies and procedures established, documented,
approved, communicated, applied, evaluated, and maintained to guide appropriate
planning, delivery, and support of the organization's application security capabilities?
"	Yes	CSP-owned	"Instructure has a robust information security program that runs on a continuous, PDCA-cycle. It was created based on guidance provided by ISO/IEC 27000:2018 and controls described in ISO/IEC 27001:2013, and is managed by Instructure's Chief Information Security and Privacy Officer (CISPO).
 
Instructure has a software development lifecycle (SDLC) that incorporates secure coding practices and controls. _All code goes through a developer peer-review process before it is merged into the code base repository. The code review includes security auditing based on the Open Web Application Security Project (OWASP) secure coding and code review documents (including the OWASP Top Ten) and other community sources on best security practices."				AIS-01	"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for application security to provide guidance to the
appropriate planning, delivery and support of the organization's application
security capabilities. Review and update the policies and procedures at least
annually.
"	Application and Interface Security Policy and Procedures	Application & Interface Security
AIS-01.2	"Are application security policies and procedures reviewed and updated at least
annually?
"	Yes	CSP-owned								
