Company Overview,,Vendor Answers,Additional Information
COMP-01,"Describe your organization’s business background and ownership structure, including all parent and subsidiary relationships.","Instructure, Inc. was founded in 2008 by two enterprising grad students with one mission: to provide an innovative, open, cloud-based teaching and learning platform for institutions and organizations that would deliver a far greater user experience than other learning management systems (LMSs) available at the time. The outcome was Canvas, a ground-breaking LMS that officially launched to market in 2011 and quickly became the fastest growing educational LMS in the US market.

From this strong foundation we developed the Instructure Learning Platform, a set of integrated teaching and learning products built on cloud technology, coupled with service offerings and a thriving partner ecosystem, that together enable the creation and exchange of innovation through our ecosystem.
Today, Instructure supports nearly 8,000 client institutions and tens of millions of users in more than 100 countries. Higher education institutions, K-12 schools, departments of education, and vocational education providers across the globe now rely on Canvas as the cornerstone of their digital education strategy. For our complete story, please visit inst.bid/story.

Instructure, Inc. is the parent company of all global subsidiaries, including:
•  Instructure Global Limited (UK)
•  Instructure Hungary Kft
•  Instructure Australia Pty Ltd
•  Instructure Brazil Ltda
•  Instructure Singapore Pte. Ltd.

The ultimate parent company of Instructure, Inc. is Instructure Holdings, Inc., a company listed on the New York Stock Exchange (stock ticker 'INST') and currently majority held by Thoma Bravo, LLC. Thoma Bravo is a leading private equity firm with a 40-year history, including over $35 billion in investor commitments, and a focus on investing in software and technology companies.

Instructure filings are available online at: https://inst.bid/investors


",
COMP-02,Have you had an unplanned disruption to this product/service in the past 12 months?,No,All unplanned disruptions and outages can be tracked via the Instructure Status page located at: https://inst.bid/status. Our annual uptime guarantee is 99.9% uptime.
COMP-03,Do you have a dedicated Information Security staff or office?,Yes,"Instructure has a dedicated security function, which includes a team of security engineers, compliance managers, and a Chief Information Security and Privacy Officer (CISPO) who is responsible for overseeing the security program. The security team consists of members with years of security experience, degrees in security systems, certifications in various security domains, and participation in security-related conferences and trainings. Security isn’t treated as the sole responsibility of our Security team though - we ensure our employees understand that security is everyone’s responsibility. All members of Product and Engineering teams are thoroughly trained on secure coding practices, testing, and conducting thorough peer reviews with a focus on security. Likewise, every employee receives regular training on security and privacy as it pertains to their work in protecting our customers."
COMP-04,"Do you have a dedicated Software and System Development team(s)? (e.g., Customer Support, Implementation, Product Management, etc.)",Yes,"Our software and system development team in total includes over 300 development engineers, and over 100 product management staff members spanning two global regions. Our engineers are organized into five teams including: Core Development, Mobile Management, Quality Assurance, Operations, and IT. Our product management staff are broken out into Product Management, User Experience, and Research and Education teams."
COMP-05,Does your product process protected health information (PHI) or any data covered by the Health Insurance Portability and Accountability Act?,No,
COMP-06,Will data regulated by PCI DSS reside in the vended product?,No,
COMP-07,Use this area to share information about your environment that will assist those who are assessing your company data security program.,"Instructure has a robust information security program that runs on a continuous, PDCA-cycle. It was created based on guidance provided by ISO/IEC 27000:2018 and controls described in ISO/IEC 27001:2013, and is managed by Instructure's Chief Information Security and Privacy Officer. The security program is attested to by a number of current security certifications including ISO 27001, SOC 2, SOC 3, TX-RAMP, UK Cyber Essentials Plus, PCI DSS SAQ D and Attestation of Compliance.
 
Instructure has a software development lifecycle (SDLC) that incorporates secure coding practices and controls. ﻿All code goes through a developer peer-review process before it is merged into the code base repository. The code review includes security auditing based on the Open Web Application Security Project (OWASP) secure coding and code review documents (including the OWASP Top Ten) and other community sources on best security practices.

In addition to this, the Amazon Web Services and Google Cloud infrastructure on which Intelligent Insights is hosted has a variety of formal accreditations. Some of the many certifications include:
 
 DoD SRG • FedRAMP • FIPS • IRAP • ISO 9001 • ISO 27001 • ISO 27017 • ISO 27018 • MLPS Level 3 • MTCS • PCI DSS Level 1 • SEC Rule 17-a-4(f) • SOC 1 • SOC 2 • SOC 3 • UK Cyber Essentials Plus 
 
Architecture, business continuity, and security white papers are also available in the Intelligent Insights Compliance package at: https://inst.bid/intelligent-insights/dl",
Documentation,,Vendor Answers,Additional Information
DOCU-01,Have you undergone a SSAE 18 / SOC 2 audit?,No,Instructure's information security policies and standards are independently audited annually on the International Organization for Standardization's (ISO) 27000 suite of standards. Intelligent Insights does not currently have an independently audited SOC 2 report.
DOCU-02,Have you completed the Cloud Security Alliance (CSA) CAIQ?,Yes,Our CAIQ (v4) is reviewed and updated annually and we are CSA STAR Level 1 Self Assessed. Our listing can be viewed on the CSA STAR Registry at: https://inst.bid/csa
DOCU-03,Have you received the Cloud Security Alliance STAR certification?,Yes,Instructure is CSA STAR Level 1 Self Assessed. Our listing can be viewed on the CSA STAR Registry at: https://inst.bid/csa
DOCU-04,"Do you conform with a specific industry standard security framework? (e.g., NIST Cybersecurity Framework, CIS Controls, ISO 27001, etc.)",Yes,"Instructure has invested in operating a robust information security program which is founded on the guidance provided by the International Organisation for Standardization's (ISO) 27000 suite of standards. Instructure also uses NIST's 800-53 suite of controls as a guide to securing Instructure services where applicable and relevant, as well as following information security best practices as set forth by the AICPA's Trust Service Principles and Criteria."
DOCU-05,Can the systems that hold the institution's data be compliant with NIST SP 800-171 and/or CMMC Level 2 standards?,Yes,"Instructure currently has no requirement to conform to NIST SP 800-171 and is not CMMC certified, however, based on our ISO 27001 certification, we believe CMMC Level 3 could be achieved."
DOCU-06,Can you provide overall system and/or application architecture diagrams including a full description of the data flow for all components of the system?,Yes,An architecture diagram is part of the Intelligent Insights Architecture Paper located in the Intelligent Insights Compliance Package.
DOCU-07,Does your organization have a data privacy policy?,Yes,Please see: https://inst.bid/privacy
DOCU-08,"Do you have a documented, and currently implemented, employee onboarding and offboarding policy?",Yes,"Instructure maintains a number of policies that form our employee onboarding and offboarding policies. This includes IT Acceptable Use, Network Security, Onboarding and Termination checklists, and Induction policies."
DOCU-09,Do you have a well-documented Business Continuity Plan (BCP) that is tested annually?,Yes,
DOCU-10,Do you have a well-documented Disaster Recovery Plan (DRP) that is tested annually?,Yes,
